ccl;tpsa;logp;rb;hbd;hba;mw;qed;nring;naring;fsp3
Benzenoids;-0.4960305246361706;-0.4069199532461179;-0.7277512587230477;-0.4221479543441855;-0.664141205429041;-0.7923832775212006;0.7656035258037315;-0.38569191532400954;-0.0297555275394042;-0.992435631294576
Endocannabinoids;-0.2408385489575615;0.0029317478853804497;0.08330611920992391;-0.10205945376025409;-0.26170689117505663;-0.2788193403475158;-0.6472694228651839;-0.8038226788085667;-0.6957008501948198;0.6747315329670989
Fatty Acyls;-0.2678769422542634;-0.008794672018892401;-0.03255922049478632;-0.4221479543441855;-0.5299964340110462;-0.4540946675471527;-0.2801990816547354;-0.8038226788085667;-0.6957008501948198;1.058934665471847
Glycerolipids;-0.17425719102207216;1.8357978298775415;1.5432093994892728;-0.4221479543441855;0.006582651660932941;0.9277505042873041;-1.2606478498444629;-0.8038226788085667;-0.6957008501948198;0.7865259782899088
Glycerophospholipids;0.1300207116353367;0.9145542916252749;1.0797480406704318;-0.10205945376025409;0.2748721944969225;0.5134579013259568;-1.2579587312015605;-0.8038226788085667;-0.6957008501948198;1.0650926250869055
Hydrocarbons;-0.6069811729916029;-0.12359365778629032;-0.49602057931362725;-0.4221479543441855;-0.7982859768470357;-0.7541250719371457;0.20862196740113012;-0.8038226788085667;-0.6957008501948198;1.5638873539066587
Nucleosides, nucleotides, and analogues;0.3025618583116538;-0.9370207603050673;-0.5887128510773955;0.21802904682367735;0.2748721944969225;-0.401806232892361;0.4593316197328722;0.03243884816054766;-0.0297555275394042;0.04902928860222341
Organic acids and derivatives;-0.03273067195079538;-0.7393639575322513;-0.49602057931362725;0.05798479653171163;-0.39585166259305143;-0.597932822825057;0.5304611927721636;-0.8038226788085667;-0.6957008501948198;0.5413581598261646
Organic nitrogen compounds;-0.4615058419175623;-0.6529495706717756;-0.7045781907821056;-0.26210370405221983;-0.5970688197200436;-0.9179893709237261;0.1393627433285197;-0.8038226788085667;-0.6957008501948198;1.5638873539066587
Organic oxygen compounds;-0.4412956027089727;-0.5860410172838847;-0.6350589869592795;-0.26210370405221983;-0.5299964340110462;-0.8091316651046297;0.2738633821654919;-0.8038226788085667;-0.6957008501948198;0.9958155794174955
Organoheterocyclic compounds;-0.4455734823786335;-0.5545129383139876;-0.7740973946049318;-0.26210370405221983;-0.5299964340110462;-0.8050740588371518;0.5775387457967053;-0.38569191532400954;-0.0297555275394042;-0.992435631294576
Organosulfur compounds;-0.6069811729916029;-0.4893913314137818;-0.6814051228411636;-0.4221479543441855;-0.5299964340110462;-0.8854479789530425;0.32183042880519214;-0.8038226788085667;-0.6957008501948198;1.5638873539066587
Other;-0.20845280607378347;0.968402544844783;0.9407096330247796;-0.4221479543441855;-0.060489734048064445;0.5746778858546269;-1.1937801018889966;-0.8038226788085667;-0.6957008501948198;1.043359118783715
Phenylpropanoids and polyketides;-0.22010728594305162;-0.5111185219295964;-0.6582320549002216;-0.02203732861427123;-0.4629240483020488;-0.7026309561953504;0.6773212013935115;-0.38569191532400954;-0.0297555275394042;-1.359315318985494
Prenol lipids;-0.6069811729916029;-0.25031894561542023;-0.7277512587230477;-0.4221479543441855;-0.7982859768470357;-0.7542018967530115;0.5676488887154959;-0.38569191532400954;-0.6957008501948198;0.20051509513266677
Sphingolipids;0.20861303941256587;0.45510516448957167;1.0334019047885479;0.5381175474076088;0.2748721944969225;0.5707250695546404;-1.2567702590787755;-0.38569191532400954;-0.6957008501948198;1.3415983986717688
Steroids and steroid derivatives;-0.1336996010770192;-0.22367465402610945;-0.5887128510773955;-0.02203732861427123;-0.26170689117505663;-0.2239663968117636;0.760571108774616;0.868700375129662;-0.6957008501948198;1.2946142466643946
